Education,Experience_Years,Projects_Count,Certification,Python,JavaScript,SQL,Machine_Learning,Java,HTML_CSS,Career_Role
MCA,1.0,0.0,None,1.0,,1.0,0.0,0.0,0.0,Data Analyst
B.Tech,2.0,3.0,,1.0,,1.0,0.0,0.0,1.0,Frontend Developer
B.Tech,,2.0,None,0.0,1.0,,0.0,0.0,1.0,Frontend Developer
BCA,0.0,5.0,Coursera,1.0,1.0,1.0,,1.0,0.0,Backend Developer
B.E.,0.0,2.0,,0.0,0.0,1.0,0.0,0.0,1.0,Data Analyst
M.Tech,,0.0,None,1.0,,1.0,0.0,0.0,0.0,Data Analyst
MCA,0.0,0.0,Google,0.0,0.0,1.0,1.0,0.0,0.0,Data Analyst
B.Tech,1.0,4.0,AWS,0.0,1.0,0.0,0.0,1.0,1.0,Frontend Developer
M.Tech,1.0,1.0,None,1.0,1.0,1.0,1.0,0.0,,Software Engineer
B.E.,6.0,4.0,AWS,0.0,1.0,0.0,1.0,0.0,1.0,Full Stack Developer
M.Tech,,1.0,edX,1.0,1.0,0.0,0.0,,1.0,Frontend Developer
,3.0,2.0,Coursera,0.0,1.0,1.0,0.0,1.0,1.0,Frontend Developer
B.E.,,3.0,None,0.0,0.0,1.0,0.0,1.0,0.0,Backend Developer
MCA,6.0,2.0,None,1.0,,0.0,0.0,1.0,,Software Engineer
B.Tech,3.0,1.0,None,0.0,1.0,1.0,1.0,1.0,,Full Stack Developer
B.E.,6.0,2.0,AWS,0.0,1.0,,0.0,1.0,0.0,Software Engineer
B.E.,2.0,0.0,None,0.0,1.0,1.0,1.0,0.0,1.0,Full Stack Developer
BCA,0.0,2.0,edX,,1.0,1.0,0.0,1.0,,Full Stack Developer
M.Tech,1.0,3.0,None,1.0,1.0,1.0,0.0,0.0,1.0,Full Stack Developer
B.Tech,7.0,1.0,None,,1.0,1.0,0.0,,1.0,Full Stack Developer
MCA,7.0,4.0,edX,1.0,1.0,1.0,1.0,0.0,0.0,Data Scientist
BCA,,,None,1.0,1.0,0.0,0.0,,1.0,Software Engineer
,2.0,0.0,Coursera,1.0,1.0,1.0,0.0,0.0,1.0,Full Stack Developer
M.Tech,1.0,4.0,None,1.0,0.0,1.0,0.0,1.0,,Software Engineer
B.Tech,4.0,2.0,,0.0,1.0,1.0,0.0,1.0,0.0,Backend Developer
BCA,0.0,1.0,None,0.0,1.0,0.0,0.0,1.0,1.0,Full Stack Developer
,2.0,,None,1.0,1.0,,0.0,1.0,1.0,Software Engineer
B.Sc.,0.0,2.0,None,1.0,1.0,1.0,1.0,0.0,1.0,Machine Learning Engineer
B.Tech,2.0,0.0,None,1.0,0.0,1.0,,,1.0,Backend Developer
B.Tech,0.0,,None,1.0,0.0,1.0,1.0,0.0,0.0,Data Analyst
B.E.,5.0,4.0,None,0.0,1.0,0.0,0.0,0.0,1.0,Frontend Developer
B.Tech,0.0,1.0,None,1.0,0.0,1.0,0.0,0.0,0.0,Data Analyst
B.Tech,,6.0,edX,1.0,1.0,1.0,0.0,1.0,1.0,Backend Developer
B.Tech,0.0,3.0,AWS,0.0,0.0,1.0,1.0,0.0,0.0,Data Analyst
B.Tech,1.0,2.0,,1.0,1.0,0.0,0.0,1.0,0.0,Software Engineer
B.E.,1.0,,None,1.0,0.0,1.0,1.0,0.0,,Data Analyst
BCA,0.0,1.0,AWS,0.0,1.0,0.0,1.0,1.0,0.0,Software Engineer
,1.0,3.0,Microsoft,1.0,0.0,,1.0,,1.0,Data Scientist
B.Tech,0.0,0.0,None,1.0,0.0,,1.0,,,Machine Learning Engineer
B.Tech,5.0,,None,0.0,1.0,1.0,0.0,1.0,,Full Stack Developer
B.E.,3.0,7.0,None,0.0,1.0,1.0,0.0,1.0,1.0,Frontend Developer
B.Tech,6.0,,AWS,1.0,1.0,1.0,0.0,,1.0,Full Stack Developer
B.Tech,2.0,2.0,None,1.0,1.0,1.0,0.0,1.0,0.0,Backend Developer
B.E.,1.0,3.0,,0.0,1.0,1.0,,1.0,1.0,Full Stack Developer
B.Tech,5.0,0.0,None,1.0,1.0,0.0,1.0,1.0,0.0,Software Engineer
B.Tech,4.0,1.0,,0.0,1.0,1.0,,1.0,1.0,Full Stack Developer
B.Tech,4.0,2.0,None,1.0,1.0,1.0,1.0,,0.0,Data Scientist
,5.0,2.0,Coursera,1.0,,1.0,0.0,1.0,0.0,Software Engineer
M.Tech,8.0,3.0,None,1.0,0.0,1.0,0.0,1.0,,Backend Developer
B.E.,0.0,1.0,None,,0.0,1.0,0.0,0.0,0.0,Data Scientist
MCA,0.0,,None,1.0,0.0,1.0,1.0,1.0,,Machine Learning Engineer
B.Tech,1.0,,Google,1.0,0.0,1.0,0.0,0.0,0.0,Data Analyst
B.E.,0.0,5.0,None,1.0,1.0,1.0,0.0,1.0,1.0,Full Stack Developer
B.E.,0.0,4.0,None,1.0,0.0,1.0,1.0,1.0,,Machine Learning Engineer
B.Tech,1.0,1.0,Microsoft,1.0,0.0,,0.0,0.0,0.0,Data Analyst
BCA,,8.0,edX,,0.0,0.0,1.0,0.0,0.0,Machine Learning Engineer
B.Tech,0.0,2.0,edX,1.0,0.0,1.0,1.0,0.0,0.0,Data Scientist
B.E.,2.0,2.0,Coursera,0.0,0.0,1.0,1.0,,0.0,Backend Developer
B.Tech,1.0,1.0,None,,1.0,0.0,0.0,0.0,1.0,Full Stack Developer
B.E.,1.0,1.0,Google,0.0,0.0,1.0,,0.0,1.0,Data Analyst
B.Sc.,7.0,3.0,None,1.0,,1.0,0.0,1.0,0.0,Backend Developer
B.Tech,5.0,,edX,,0.0,,1.0,0.0,0.0,Machine Learning Engineer
,5.0,1.0,None,,1.0,1.0,0.0,1.0,1.0,Backend Developer
B.Tech,0.0,2.0,None,1.0,0.0,1.0,1.0,0.0,0.0,Data Scientist
B.Sc.,2.0,2.0,,1.0,1.0,0.0,1.0,0.0,0.0,Machine Learning Engineer
M.Tech,,7.0,None,1.0,1.0,1.0,0.0,1.0,1.0,Backend Developer
,1.0,0.0,AWS,0.0,,1.0,1.0,0.0,0.0,Data Analyst
B.Tech,0.0,6.0,None,0.0,1.0,1.0,,1.0,1.0,Software Engineer
B.E.,1.0,2.0,None,1.0,0.0,1.0,0.0,0.0,0.0,Data Analyst
BCA,3.0,4.0,None,0.0,1.0,1.0,0.0,0.0,1.0,Frontend Developer
B.Tech,5.0,3.0,edX,0.0,1.0,1.0,0.0,1.0,1.0,Frontend Developer
B.E.,4.0,3.0,None,1.0,0.0,1.0,1.0,0.0,0.0,Data Analyst
M.Tech,1.0,4.0,None,1.0,0.0,1.0,0.0,0.0,1.0,Data Analyst
B.E.,0.0,2.0,,1.0,,1.0,0.0,0.0,1.0,Frontend Developer
B.Tech,2.0,4.0,None,1.0,1.0,1.0,1.0,1.0,,Backend Developer
B.Tech,2.0,4.0,None,1.0,0.0,1.0,,0.0,,Machine Learning Engineer
BCA,0.0,5.0,None,1.0,,0.0,0.0,0.0,0.0,Backend Developer
B.E.,4.0,2.0,None,,1.0,0.0,1.0,1.0,1.0,Backend Developer
M.Tech,,2.0,None,0.0,1.0,0.0,0.0,0.0,1.0,Frontend Developer
,0.0,5.0,None,1.0,0.0,1.0,1.0,0.0,0.0,Data Analyst
B.Tech,,3.0,None,0.0,1.0,0.0,,0.0,1.0,Frontend Developer
B.Tech,0.0,3.0,AWS,1.0,1.0,1.0,,1.0,1.0,Full Stack Developer
BCA,0.0,1.0,Coursera,1.0,0.0,1.0,0.0,0.0,1.0,Data Analyst
B.E.,5.0,5.0,Coursera,0.0,1.0,0.0,1.0,1.0,0.0,Software Engineer
M.Tech,0.0,1.0,Coursera,1.0,0.0,1.0,1.0,0.0,1.0,Data Scientist
B.E.,1.0,4.0,None,0.0,0.0,1.0,1.0,1.0,0.0,Backend Developer
MCA,1.0,1.0,,,0.0,,1.0,1.0,,Machine Learning Engineer
B.Sc.,3.0,1.0,None,1.0,1.0,0.0,0.0,1.0,0.0,Software Engineer
MCA,4.0,,Coursera,,1.0,0.0,0.0,0.0,1.0,Frontend Developer
B.Tech,3.0,3.0,Coursera,1.0,1.0,0.0,,0.0,1.0,Frontend Developer
,5.0,4.0,Coursera,0.0,1.0,0.0,0.0,0.0,1.0,Frontend Developer
B.E.,1.0,4.0,Coursera,1.0,0.0,0.0,0.0,0.0,0.0,Data Analyst
B.Tech,1.0,1.0,edX,1.0,0.0,1.0,1.0,0.0,1.0,Data Scientist
B.E.,4.0,4.0,,1.0,0.0,1.0,1.0,0.0,0.0,Data Scientist
B.Sc.,0.0,3.0,Microsoft,0.0,1.0,1.0,0.0,0.0,1.0,Full Stack Developer
B.E.,3.0,5.0,None,1.0,1.0,1.0,1.0,1.0,1.0,Software Engineer
B.E.,1.0,1.0,,0.0,1.0,1.0,0.0,0.0,1.0,Software Engineer
M.Tech,0.0,2.0,None,0.0,,1.0,0.0,0.0,1.0,Full Stack Developer
BCA,7.0,1.0,None,1.0,0.0,,1.0,,0.0,Data Analyst
B.Sc.,1.0,1.0,None,,,1.0,1.0,1.0,0.0,Data Analyst
B.E.,1.0,0.0,AWS,1.0,0.0,,0.0,1.0,0.0,Software Engineer
B.Tech,1.0,4.0,None,,1.0,0.0,0.0,0.0,,Frontend Developer
B.Sc.,0.0,2.0,None,,0.0,1.0,1.0,,1.0,Machine Learning Engineer
B.Tech,2.0,3.0,None,1.0,0.0,,1.0,0.0,0.0,Data Analyst
B.Sc.,5.0,4.0,None,0.0,1.0,1.0,1.0,0.0,1.0,Full Stack Developer
B.E.,1.0,,Coursera,,0.0,1.0,1.0,0.0,0.0,Machine Learning Engineer
BCA,5.0,1.0,None,,1.0,1.0,0.0,0.0,0.0,Software Engineer
B.E.,2.0,4.0,,0.0,1.0,0.0,0.0,1.0,1.0,Software Engineer
MCA,8.0,4.0,Coursera,0.0,0.0,1.0,1.0,1.0,0.0,Software Engineer
M.Tech,3.0,5.0,Microsoft,1.0,0.0,0.0,0.0,0.0,0.0,Backend Developer
B.Tech,4.0,2.0,None,1.0,0.0,0.0,1.0,0.0,1.0,Machine Learning Engineer
B.E.,4.0,,None,0.0,1.0,1.0,0.0,1.0,1.0,Full Stack Developer
BCA,3.0,6.0,None,,0.0,1.0,1.0,1.0,0.0,Machine Learning Engineer
B.Tech,1.0,2.0,edX,,1.0,0.0,,,,Frontend Developer
B.Tech,4.0,3.0,,1.0,0.0,1.0,0.0,1.0,0.0,Data Analyst
B.Sc.,0.0,3.0,Microsoft,1.0,0.0,1.0,1.0,1.0,0.0,Machine Learning Engineer
B.E.,0.0,0.0,Microsoft,0.0,,1.0,,1.0,0.0,Backend Developer
BCA,,3.0,Microsoft,1.0,1.0,1.0,0.0,1.0,0.0,Software Engineer
,,4.0,edX,1.0,1.0,1.0,1.0,1.0,1.0,Software Engineer
B.E.,0.0,1.0,None,0.0,1.0,1.0,,0.0,0.0,Software Engineer
B.Tech,0.0,1.0,None,,1.0,1.0,,0.0,0.0,Machine Learning Engineer
B.Tech,8.0,7.0,AWS,0.0,1.0,1.0,,1.0,,Software Engineer
B.E.,0.0,3.0,None,1.0,0.0,1.0,1.0,0.0,0.0,Data Scientist
B.Tech,,1.0,AWS,1.0,0.0,1.0,1.0,,1.0,Machine Learning Engineer
B.Tech,6.0,0.0,AWS,1.0,0.0,1.0,1.0,1.0,0.0,Machine Learning Engineer
MCA,0.0,2.0,None,0.0,,0.0,1.0,0.0,0.0,Frontend Developer
B.Sc.,2.0,2.0,None,1.0,1.0,1.0,0.0,,1.0,Full Stack Developer
,2.0,2.0,Coursera,1.0,1.0,0.0,0.0,0.0,1.0,Frontend Developer
B.E.,1.0,5.0,Coursera,1.0,1.0,1.0,0.0,0.0,1.0,Frontend Developer
B.Tech,2.0,5.0,None,1.0,1.0,1.0,0.0,1.0,1.0,Full Stack Developer
M.Tech,0.0,,None,1.0,0.0,,1.0,0.0,0.0,Data Scientist
B.E.,3.0,3.0,Microsoft,1.0,1.0,1.0,0.0,0.0,0.0,Backend Developer
B.E.,3.0,2.0,Google,1.0,0.0,1.0,,0.0,1.0,Machine Learning Engineer
MCA,0.0,1.0,None,1.0,1.0,0.0,0.0,,1.0,Software Engineer
MCA,,2.0,None,,0.0,1.0,1.0,0.0,0.0,Data Analyst
B.E.,0.0,0.0,None,1.0,0.0,,0.0,0.0,0.0,Data Analyst
B.Tech,0.0,1.0,None,0.0,0.0,0.0,0.0,1.0,1.0,Frontend Developer
MCA,1.0,2.0,,1.0,0.0,1.0,1.0,0.0,0.0,Data Analyst
B.Sc.,1.0,3.0,Microsoft,0.0,0.0,1.0,0.0,0.0,0.0,Data Analyst
BCA,0.0,2.0,,0.0,0.0,1.0,,0.0,1.0,Data Analyst
M.Tech,3.0,,Coursera,1.0,0.0,1.0,1.0,0.0,0.0,Machine Learning Engineer
M.Tech,1.0,3.0,None,0.0,,1.0,0.0,1.0,1.0,Full Stack Developer
B.E.,8.0,5.0,None,0.0,0.0,,,1.0,0.0,Backend Developer
B.Tech,,4.0,None,1.0,0.0,1.0,1.0,0.0,1.0,Data Scientist
B.Tech,2.0,2.0,None,0.0,0.0,1.0,0.0,1.0,1.0,Software Engineer
B.Tech,5.0,2.0,Coursera,1.0,0.0,1.0,,0.0,0.0,Data Analyst
B.Tech,,2.0,None,,0.0,1.0,1.0,0.0,0.0,Machine Learning Engineer
BCA,1.0,,None,1.0,,1.0,1.0,0.0,0.0,Backend Developer
B.Tech,,3.0,Google,1.0,0.0,1.0,0.0,,0.0,Backend Developer
B.E.,1.0,1.0,None,1.0,0.0,1.0,1.0,1.0,0.0,Machine Learning Engineer
MCA,3.0,2.0,None,1.0,0.0,1.0,1.0,0.0,0.0,Data Scientist
BCA,3.0,2.0,,1.0,1.0,1.0,1.0,0.0,,Backend Developer
B.Tech,1.0,,None,1.0,0.0,1.0,0.0,1.0,1.0,Backend Developer
B.Tech,,5.0,,0.0,1.0,1.0,1.0,1.0,0.0,Backend Developer
BCA,0.0,0.0,AWS,1.0,0.0,1.0,1.0,1.0,0.0,Machine Learning Engineer
,2.0,1.0,,1.0,1.0,1.0,0.0,1.0,1.0,Software Engineer
MCA,4.0,2.0,Google,1.0,1.0,1.0,0.0,0.0,1.0,Full Stack Developer
MCA,4.0,6.0,Microsoft,1.0,0.0,1.0,0.0,1.0,0.0,Data Analyst
,4.0,2.0,None,0.0,0.0,1.0,0.0,0.0,0.0,Software Engineer
MCA,1.0,1.0,None,1.0,0.0,1.0,0.0,1.0,0.0,Software Engineer
B.Tech,3.0,3.0,None,,1.0,1.0,0.0,0.0,,Data Analyst
MCA,8.0,5.0,Google,1.0,0.0,0.0,0.0,1.0,1.0,Software Engineer
BCA,,3.0,AWS,1.0,0.0,0.0,1.0,0.0,0.0,Machine Learning Engineer
B.Tech,2.0,6.0,edX,0.0,,1.0,0.0,1.0,,Full Stack Developer
B.E.,1.0,2.0,AWS,1.0,1.0,1.0,0.0,1.0,1.0,Full Stack Developer
B.Tech,2.0,1.0,edX,0.0,1.0,0.0,,0.0,1.0,Frontend Developer
,,0.0,edX,,0.0,1.0,0.0,0.0,0.0,Data Analyst
BCA,6.0,,,1.0,0.0,,1.0,1.0,0.0,Backend Developer
B.E.,7.0,4.0,None,0.0,1.0,1.0,0.0,1.0,1.0,Full Stack Developer
BCA,6.0,6.0,None,1.0,1.0,1.0,0.0,0.0,0.0,Backend Developer
B.Tech,8.0,6.0,Coursera,0.0,,1.0,1.0,0.0,0.0,Data Analyst
B.Tech,6.0,5.0,None,1.0,0.0,1.0,1.0,,0.0,Machine Learning Engineer
B.Tech,5.0,4.0,edX,1.0,0.0,1.0,1.0,0.0,0.0,Machine Learning Engineer
B.Sc.,2.0,2.0,None,,0.0,1.0,1.0,1.0,0.0,Data Scientist
BCA,8.0,,,1.0,0.0,1.0,,0.0,0.0,Machine Learning Engineer
B.Tech,1.0,4.0,Coursera,1.0,0.0,1.0,0.0,0.0,0.0,Backend Developer
BCA,2.0,6.0,None,0.0,,1.0,0.0,0.0,1.0,Data Analyst
B.Tech,3.0,3.0,,1.0,0.0,1.0,1.0,,,Data Scientist
BCA,0.0,2.0,None,0.0,0.0,1.0,1.0,1.0,0.0,Data Analyst
B.Sc.,5.0,3.0,AWS,1.0,,0.0,1.0,0.0,1.0,Full Stack Developer
B.Tech,5.0,2.0,,,1.0,1.0,,0.0,1.0,Frontend Developer
B.Tech,7.0,,None,1.0,0.0,,1.0,0.0,0.0,Data Scientist
B.Tech,2.0,4.0,,1.0,0.0,1.0,0.0,0.0,,Data Analyst
B.Tech,0.0,1.0,edX,0.0,1.0,1.0,0.0,0.0,,Software Engineer
B.E.,6.0,4.0,,1.0,0.0,1.0,,1.0,0.0,Software Engineer
MCA,1.0,3.0,AWS,1.0,1.0,1.0,,0.0,0.0,Backend Developer
BCA,0.0,0.0,edX,1.0,0.0,0.0,0.0,1.0,1.0,Software Engineer
B.E.,1.0,2.0,AWS,0.0,1.0,1.0,,1.0,1.0,Full Stack Developer
B.Tech,7.0,5.0,Coursera,1.0,1.0,1.0,1.0,0.0,,Machine Learning Engineer
B.Tech,5.0,3.0,None,1.0,0.0,1.0,1.0,0.0,0.0,Data Scientist
M.Tech,1.0,1.0,Microsoft,1.0,0.0,1.0,1.0,0.0,1.0,Machine Learning Engineer
M.Tech,0.0,2.0,Coursera,1.0,,1.0,0.0,0.0,1.0,Backend Developer
B.Sc.,,3.0,None,,1.0,0.0,0.0,1.0,1.0,Software Engineer
B.Sc.,3.0,3.0,Microsoft,1.0,0.0,1.0,1.0,0.0,0.0,Data Scientist
B.Tech,,1.0,None,1.0,1.0,0.0,0.0,,1.0,Backend Developer
B.Tech,4.0,3.0,None,1.0,1.0,1.0,1.0,1.0,0.0,Machine Learning Engineer
,0.0,5.0,AWS,0.0,,,1.0,0.0,0.0,Machine Learning Engineer
M.Tech,2.0,3.0,None,1.0,1.0,1.0,0.0,0.0,1.0,Backend Developer
B.Tech,1.0,,Coursera,0.0,1.0,1.0,0.0,1.0,1.0,Software Engineer
B.E.,2.0,7.0,,1.0,0.0,,1.0,0.0,0.0,Data Scientist
B.Tech,0.0,2.0,Coursera,0.0,0.0,0.0,0.0,0.0,0.0,Data Analyst
B.Tech,0.0,2.0,None,,1.0,1.0,0.0,0.0,0.0,Full Stack Developer
B.Tech,4.0,1.0,None,0.0,1.0,0.0,0.0,,1.0,Full Stack Developer
B.Tech,0.0,1.0,Microsoft,0.0,1.0,1.0,1.0,0.0,1.0,Frontend Developer
B.E.,1.0,3.0,edX,1.0,1.0,1.0,1.0,0.0,0.0,Machine Learning Engineer
MCA,0.0,1.0,Coursera,1.0,1.0,1.0,0.0,0.0,0.0,Software Engineer
B.Tech,4.0,3.0,None,0.0,1.0,1.0,1.0,0.0,,Frontend Developer
B.Tech,7.0,4.0,Microsoft,1.0,1.0,0.0,0.0,1.0,1.0,Software Engineer
B.Sc.,,5.0,AWS,1.0,1.0,1.0,1.0,0.0,1.0,Full Stack Developer
B.Tech,,4.0,None,0.0,1.0,1.0,0.0,0.0,1.0,Full Stack Developer
B.Tech,1.0,1.0,Microsoft,1.0,0.0,0.0,1.0,0.0,0.0,Machine Learning Engineer
,2.0,1.0,Google,1.0,0.0,0.0,1.0,0.0,0.0,Data Scientist
M.Tech,0.0,2.0,edX,0.0,1.0,1.0,0.0,0.0,0.0,Backend Developer
MCA,4.0,3.0,Coursera,0.0,1.0,1.0,1.0,0.0,1.0,Full Stack Developer
B.E.,3.0,3.0,Google,1.0,0.0,1.0,1.0,0.0,0.0,Data Scientist
MCA,0.0,3.0,Coursera,1.0,0.0,1.0,,,0.0,Data Analyst
B.Tech,5.0,2.0,,1.0,0.0,1.0,1.0,0.0,1.0,Data Analyst
B.Sc.,0.0,3.0,None,0.0,1.0,1.0,1.0,0.0,0.0,Backend Developer
B.E.,3.0,4.0,AWS,1.0,1.0,1.0,0.0,0.0,1.0,Full Stack Developer
B.Tech,5.0,4.0,None,1.0,0.0,1.0,1.0,0.0,1.0,Data Scientist
B.Sc.,3.0,2.0,None,1.0,1.0,1.0,0.0,1.0,1.0,Software Engineer
B.Tech,5.0,3.0,None,1.0,0.0,1.0,1.0,0.0,0.0,Machine Learning Engineer
B.Tech,1.0,0.0,Microsoft,0.0,1.0,1.0,0.0,0.0,1.0,Full Stack Developer
MCA,1.0,3.0,None,0.0,1.0,1.0,0.0,0.0,1.0,Full Stack Developer
B.Tech,1.0,3.0,edX,,0.0,,0.0,0.0,0.0,Data Analyst
B.Tech,4.0,4.0,Coursera,0.0,1.0,0.0,1.0,0.0,1.0,Full Stack Developer
B.Tech,7.0,6.0,Coursera,1.0,,0.0,1.0,1.0,0.0,Machine Learning Engineer
B.Sc.,1.0,2.0,Google,1.0,,1.0,0.0,,0.0,Data Analyst
B.E.,1.0,3.0,None,0.0,,1.0,,,0.0,Machine Learning Engineer
B.E.,1.0,2.0,None,0.0,1.0,1.0,0.0,0.0,1.0,Frontend Developer
B.Tech,2.0,4.0,None,1.0,,1.0,,0.0,0.0,Data Analyst
MCA,,4.0,None,1.0,1.0,1.0,1.0,0.0,0.0,Machine Learning Engineer
MCA,,4.0,None,1.0,0.0,1.0,1.0,0.0,0.0,Machine Learning Engineer
MCA,4.0,1.0,Coursera,1.0,0.0,1.0,1.0,0.0,0.0,Machine Learning Engineer
MCA,5.0,4.0,,1.0,1.0,1.0,1.0,1.0,1.0,Backend Developer
B.Tech,0.0,2.0,None,0.0,0.0,1.0,0.0,0.0,1.0,Software Engineer
MCA,4.0,1.0,None,0.0,1.0,1.0,0.0,0.0,,Backend Developer
MCA,1.0,1.0,Coursera,,0.0,,1.0,0.0,0.0,Data Scientist
,2.0,1.0,Google,1.0,0.0,1.0,1.0,0.0,0.0,Data Scientist
B.Tech,1.0,1.0,Coursera,1.0,0.0,1.0,,0.0,0.0,Data Analyst
B.Sc.,5.0,2.0,Coursera,0.0,1.0,1.0,1.0,0.0,1.0,Full Stack Developer
BCA,1.0,,None,1.0,1.0,1.0,0.0,0.0,0.0,Backend Developer
B.Tech,0.0,1.0,,1.0,0.0,1.0,1.0,0.0,,Data Scientist
B.E.,,3.0,Google,,0.0,1.0,,1.0,1.0,Data Analyst
,,5.0,Coursera,1.0,0.0,1.0,1.0,0.0,1.0,Data Analyst
,3.0,3.0,edX,1.0,1.0,1.0,0.0,0.0,1.0,Full Stack Developer
MCA,3.0,2.0,None,1.0,,1.0,0.0,0.0,0.0,Data Analyst
BCA,0.0,1.0,Coursera,1.0,1.0,1.0,0.0,1.0,0.0,Backend Developer
B.E.,1.0,,None,,1.0,1.0,0.0,1.0,,Software Engineer
B.Sc.,2.0,5.0,None,0.0,1.0,1.0,0.0,1.0,,Backend Developer
B.Tech,1.0,,Google,1.0,0.0,1.0,,0.0,0.0,Data Analyst
B.Tech,1.0,1.0,Coursera,1.0,0.0,1.0,1.0,1.0,1.0,Data Scientist
B.E.,0.0,3.0,Microsoft,1.0,0.0,1.0,,1.0,0.0,Backend Developer
BCA,0.0,4.0,Microsoft,1.0,0.0,1.0,1.0,1.0,0.0,Machine Learning Engineer
,7.0,2.0,Coursera,1.0,0.0,1.0,1.0,1.0,0.0,Data Scientist
,3.0,,None,1.0,1.0,,1.0,1.0,1.0,Data Scientist
B.Tech,5.0,6.0,,,1.0,1.0,1.0,0.0,0.0,Machine Learning Engineer
B.Tech,2.0,5.0,edX,,,0.0,,0.0,1.0,Frontend Developer
BCA,,5.0,Coursera,1.0,0.0,1.0,0.0,0.0,0.0,Data Analyst
,1.0,1.0,None,0.0,1.0,0.0,0.0,0.0,1.0,Frontend Developer
,0.0,1.0,AWS,1.0,0.0,1.0,0.0,0.0,0.0,Data Analyst
B.Tech,0.0,,None,1.0,0.0,1.0,0.0,,0.0,Data Scientist
B.Sc.,0.0,2.0,None,0.0,,0.0,,0.0,1.0,Frontend Developer
B.Tech,3.0,2.0,None,0.0,1.0,0.0,0.0,,,Frontend Developer
B.E.,0.0,2.0,Google,1.0,0.0,0.0,,1.0,0.0,Software Engineer
B.Tech,,4.0,Coursera,1.0,0.0,1.0,1.0,0.0,,Data Scientist
B.E.,8.0,5.0,Coursera,1.0,0.0,1.0,1.0,,0.0,Data Analyst
B.Sc.,2.0,3.0,None,1.0,0.0,1.0,1.0,1.0,1.0,Data Scientist
B.Tech,1.0,,Coursera,0.0,1.0,0.0,1.0,1.0,1.0,Software Engineer
B.Tech,3.0,2.0,Coursera,1.0,1.0,1.0,1.0,,1.0,Full Stack Developer
B.E.,0.0,3.0,None,0.0,1.0,1.0,0.0,1.0,1.0,Full Stack Developer
BCA,0.0,0.0,AWS,0.0,1.0,1.0,1.0,1.0,1.0,Full Stack Developer
B.Sc.,0.0,0.0,None,1.0,0.0,1.0,,0.0,,Backend Developer
BCA,0.0,7.0,None,0.0,1.0,0.0,1.0,,0.0,Software Engineer
B.E.,6.0,1.0,Google,1.0,1.0,1.0,0.0,0.0,1.0,Full Stack Developer
B.Tech,1.0,4.0,Google,1.0,1.0,1.0,1.0,0.0,0.0,Data Scientist
B.Tech,,3.0,None,,1.0,1.0,0.0,1.0,1.0,Software Engineer
B.Tech,,7.0,None,1.0,0.0,1.0,1.0,1.0,0.0,Data Scientist
BCA,2.0,4.0,None,1.0,0.0,0.0,0.0,1.0,1.0,Software Engineer
BCA,0.0,2.0,None,1.0,1.0,1.0,0.0,1.0,0.0,Backend Developer
BCA,0.0,,None,1.0,1.0,0.0,1.0,,0.0,Machine Learning Engineer
B.Tech,6.0,3.0,AWS,1.0,0.0,1.0,1.0,,0.0,Machine Learning Engineer
B.E.,1.0,1.0,AWS,1.0,0.0,0.0,,0.0,0.0,Machine Learning Engineer
B.Tech,1.0,3.0,,1.0,0.0,1.0,0.0,0.0,,Backend Developer
B.Tech,0.0,2.0,None,1.0,0.0,0.0,1.0,1.0,0.0,Software Engineer
B.Tech,3.0,2.0,edX,1.0,0.0,1.0,0.0,1.0,0.0,Backend Developer
B.E.,1.0,3.0,None,1.0,1.0,0.0,0.0,0.0,1.0,Frontend Developer
B.Sc.,0.0,5.0,AWS,1.0,1.0,0.0,,1.0,1.0,Software Engineer
B.E.,0.0,3.0,Google,,1.0,0.0,,0.0,,Full Stack Developer
B.Sc.,,3.0,AWS,1.0,0.0,1.0,0.0,0.0,0.0,Software Engineer
B.Tech,0.0,1.0,Google,1.0,0.0,0.0,1.0,0.0,0.0,Machine Learning Engineer
B.Tech,,,,1.0,1.0,1.0,0.0,0.0,0.0,Backend Developer
,,1.0,None,1.0,1.0,0.0,1.0,,0.0,Software Engineer
B.Tech,,2.0,AWS,1.0,1.0,0.0,0.0,0.0,0.0,Software Engineer
B.Sc.,0.0,,edX,1.0,0.0,1.0,1.0,1.0,0.0,Machine Learning Engineer
B.Sc.,3.0,2.0,None,0.0,1.0,1.0,0.0,0.0,1.0,Backend Developer
B.Tech,2.0,3.0,edX,1.0,0.0,1.0,1.0,0.0,0.0,Machine Learning Engineer
B.Tech,7.0,,None,0.0,1.0,0.0,1.0,0.0,1.0,Frontend Developer
B.E.,0.0,4.0,AWS,1.0,0.0,1.0,,0.0,0.0,Machine Learning Engineer
BCA,8.0,,Coursera,1.0,1.0,1.0,0.0,,1.0,Full Stack Developer
M.Tech,1.0,0.0,Coursera,0.0,1.0,0.0,0.0,0.0,1.0,Frontend Developer
B.E.,7.0,4.0,Microsoft,1.0,1.0,0.0,,,1.0,Frontend Developer
,0.0,0.0,edX,0.0,1.0,1.0,0.0,0.0,1.0,Frontend Developer
B.E.,,2.0,edX,1.0,0.0,,1.0,,0.0,Data Scientist
MCA,6.0,2.0,Google,1.0,1.0,1.0,0.0,0.0,0.0,Backend Developer
B.E.,7.0,4.0,None,1.0,0.0,1.0,1.0,1.0,1.0,Data Scientist
